.,.,.,.,.,.,.,B,#,#,#,.,#,#,.,.,.,.,#,#,#,#,#,Y,#,#,G,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.
.,.,.,.,.,#,#,#,#,B,B,.,#,#,.,.,.,.,#,#,#,#,#,Y,Y,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.
.,.,.,.,Y,#,#,#,#,B,B,.,.,#,#,.,.,.,#,#,#,#,#,#,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,#,.,.,Y,#,#,#,#,.,.,.,.,#,#,.,.,.,#,#,#,#,#,#,.,.,.,.,#,#,#,#,.,.,#,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.
.,#,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,#,#,#,#,.,.,#,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.
.,#,.,.,.,Y,Y,Y,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,#,.,.,#,#,.,#,#,#,Y,Y,Y,G,G,#,#
.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,G,#,#,#,B,.,.,.,.,.,.,.,.,.,#,#,#,.,.,#,.,.,#,#,.,#,#,#,Y,Y,Y,#,#,#,#
.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,G,#,#,#,#,.,.,.,.,.,G,G,.,.,#,#,#,.,.,#,.,B,B,.,.,.,.,#,#,#,#,G,G,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,G,G,#,B,B,.,.,.,G,G,.,.,#,#,#,.,.,#,B,B,B,B,#,#,#,#,#,#,#,G,G,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,G,#,#,#,#,.,.,.,.,.,.,#,#,#,#,.,.,.,B,B,B,B,#,#,#,#,#,#,#,.,#,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,.,.,.,.,.,.,#,#,#,.,.,.,.,B,B,B,B,#,#,#,.,#,#,#,#,#,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,B,B,.,#,#,Y,Y,.,#,#,#,.,.,.,.,B,B,B,B,#,#,#,.,#,#,#,#,#,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,Y,Y,#,#,.,.,.,.,.,.,.,.,B,B,B,B,.,.,#,#,#,#,#,.,.
.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,#,#,G,G,B,B,.,.,.,.,#,#,#,.,.,.,#,#,#,#,.,.,.
.,.,#,#,#,.,.,.,#,#,#,#,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,#,#,G,G,B,B,.,.,.,.,.,#,B,B,B,B,.,.,.,.,.,.,.
.,.,.,.,B,B,B,B,#,#,#,#,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,#,#,.,.,#,#,#,#,.,.,.,#,B,B,B,B,.,.,.,.,B,B,B
.,.,.,.,B,B,B,#,#,#,#,#,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,B,B,B
.,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,B,B,.,.,#,.,G,G,.,.,.,.,#,#,#,.
.,.,.,.,.,.,.,#,#,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,#,#,.,G,G,.,.,.,.,#,#,#,#
.,Y,Y,.,#,#,#,#,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,#,Y,.,.,.,.,.,.,.,.,.,.,.
.,Y,Y,.,#,#,#,#,#,.,#,#,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,#,Y,.,#,.,.,.,.,.,.,Y,Y,.
.,.,.,#,#,#,#,#,#,.,.,#,#,.,.,.,.,#,.,.,.,.,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,#,#,#,#,.,.,.,#,.,.,Y,Y,.
.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,#,#,#,#,.,.,.,#,.,.,.,.,.
.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,#,.,.,.,.,.
